model,target,RMSE,MAE,R2,error,error_average
ARIMA,СКР,0.05926621495670294,0.04445411764705883,0.9544499972734612,4.136024551407526,23.366633676905913
ARIMA,ОПЖ,0.880369612552525,0.7062552941176471,0.8856220471199727,1.2154073814251432,3.9255724713872944
Prophet,СКР,0.08039634474917264,0.06261784104002265,0.9165793307910134,5.57158582473221,22.86120035365979
Prophet,ОПЖ,5.150934069517236,4.880674739778387,-3.233954240499953,7.142899726473126,3.6540144304911046
Random Forest,СКР,0.03950175426298141,0.030049199048753535,0.979449513238834,2.749917372934823,23.04800988295015
Random Forest,ОПЖ,0.683168482792074,0.5864823301127464,0.9311240064337293,0.9431584244884,3.9255724713872944
RNN,СКР,0.3222381223996383,0.25142352362801046,-0.3401545911682544,22.331579384007057,22.86120035365979
RNN,ОПЖ,3.2670192967283587,2.6162766813390395,-0.7032467821757102,4.530438737137739,3.6540144304911046
XGBoost,СКР,0.03699059901530979,0.026695376104467074,0.9819792826228867,2.575103125553916,23.04800988295015
XGBoost,ОПЖ,1.3300627361436381,1.2789269660500924,0.7389302915217741,1.8362379212299902,3.9255724713872944
